,UserOwner,AlbumName,SongReleaseDate,ArtistName,SongIsExplicit,SongName,PlaylistName,artist,title,lyric,negative,neutral,positive,compound
155,markettes99,La Fiesta del Vivir,2019-05-09,Pablo Moreno,False,La Fiesta del Vivir,OldSchool,,,,,,,
156,markettes99,I Don't Care (with Justin Bieber),2019-05-10,Ed Sheeran,False,I Don't Care (with Justin Bieber),OldSchool,,,,,,,
157,markettes99,Sixteen (Don Diablo Remix),2019-05-10,Ellie Goulding,False,Sixteen - Don Diablo Remix,OldSchool,,,,,,,
158,markettes99,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),2019-04-25,Martin Garrix,True,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),OldSchool,,,,,,,
159,markettes99,Better,2018-09-14,Khalid,False,Better,OldSchool,,,,,,,
160,markettes99,It's You,2019-06-14,Ali Gatie,False,It's You,OldSchool,,,,,,,
161,11124830059,Band of Brothers - Original Motion Picture Soundtrack,2001-07-19,London Metropolitan Orchestra,False,Austria - Instrumental,BSO study,,,,,,,
162,11124830059,Lord of the Rings 3 - The Return of the King,2003-11-24,Howard Shore,False,The Ride of the Rohirrim,BSO study,,,,,,,
163,11124830059,AVATAR Music From The Motion Picture Music Composed and Conducted by James Horner,2009-12-07,James Horner,False,The bioluminescence of the night,BSO study,,,,,,,
164,11124830059,Transformers: The Score,2007-10-01,Steve Jablonsky,False,Autobots,BSO study,,,,,,,
165,11124830059,The Hobbit: An Unexpected Journey Original Motion Picture Soundtrack (International Version),2012-01-01,Howard Shore,False,My Dear Frodo,BSO study,,,,,,,
166,11124830059,Kingdom of Heaven (Original Motion Picture Soundtrack),2005-04-26,Harry Gregson-Williams,False,Crusaders,BSO study,,,,,,,
167,11124830059,100 Greatest Film Themes,2012-02-20,The City of Prague Philharmonic Orchestra,False,"The Fellowship (From ""The Lord Of The Rings: The Fellowship Of The Ring"")",BSO study,,,,,,,
168,11124830059,Band of Brothers - Original Motion Picture Soundtrack,2001-07-19,London Metropolitan Orchestra,False,Boy Eats Chocolate - Instrumental,BSO study,,,,,,,
169,11124830059,Armageddon - Original Motion Picture Score,1998-11-10,Trevor Rabin,False,Launch,BSO study,,,,,,,
170,11124830059,Star Wars Episode III: Revenge of the Sith [Original Motion Picture Soundtrack],2005,John Williams,False,Battle of the Heroes,BSO study,,,,,,,
171,11124830059,The Pacific (Music From the HBO Miniseries),2010-03-09,Hans Zimmer,False,Honor [For Oboe And Strings],BSO study,,,,,,,
172,11124830059,The Hobbit: An Unexpected Journey Original Motion Picture Soundtrack (Deluxe Version),2012-01-01,Neil Finn,False,Song Of The Lonely Mountain - Extended Version,BSO study,,,,,,,
173,11124830059,Band of Brothers - Original Motion Picture Soundtrack,2001-07-19,London Metropolitan Orchestra,False,Preparing For Patrol - Instrumental,BSO study,,,,,,,
174,11124830059,Gladiator - Music From The Motion Picture,2000-01-01,Lisa Gerrard,False,Now We Are Free,BSO study,,,,,,,
175,11124830059,Escala,2009-05-25,Escala,False,Palladio,BSO study,,,,,,,
176,11124830059,The Dark Knight (Original Motion Picture Soundtrack),2008-07-14,Hans Zimmer,False,I'm Not a Hero,BSO study,,,,,,,
177,11124830059,Angels & Demons (Original Motion Picture Soundtrack),2009-05-08,Hans Zimmer,False,503,BSO study,,,,,,,
178,11124830059,Best Of,2008-07-29,Michael Kamen,False,Robin Hood,BSO study,,,,,,,
179,11124830059,Kingdom of Heaven (Original Motion Picture Soundtrack),2005-04-26,Harry Gregson-Williams,False,Burning the Past,BSO study,,,,,,,
180,11124830059,Braveheart - Original Motion Picture Soundtrack,1995-01-01,James Horner,False,The Secret Wedding,BSO study,,,,,,,
181,11124830059,Jurassic Park (Soundtrack),1993-01-01,John Williams,False,"Theme From Jurassic Park - From ""Jurassic Park"" Soundtrack",BSO study,,,,,,,
182,11124830059,AVATAR Music From The Motion Picture Music Composed and Conducted by James Horner,2009-12-07,James Horner,False,"Becoming one of ""The People"" Becoming one with Neytiri",BSO study,,,,,,,
183,11124830059,Master & Commander: Original Soundtrack,2003-10-01,Luigi Boccherini,False,"String Quintet in C, Op.30 No.6",BSO study,,,,,,,
184,11124830059,Transformers: The Score,2007-10-01,Steve Jablonsky,False,Bumblebee Captured,BSO study,,,,,,,
185,11124830059,"Bach: Cello Suites Nos. 1, 5 & 6",1983,Johann Sebastian Bach,False,"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude",BSO study,,,,,,,
186,11124830059,Pirates Of The Caribbean: At World's End Original Soundtrack,2007-01-01,Hans Zimmer,False,Drink Up Me Hearties Yo Ho,BSO study,,,,,,,
187,11124830059,Star Wars Episode 2: Attack of the Clones,2002-03-11,John Williams,False,Across the Stars (Love Theme from Star Wars: Episode II),BSO study,,,,,,,
188,11124830059,The Dark Knight (Original Motion Picture Soundtrack),2008-07-14,Hans Zimmer,False,A Dark Knight,BSO study,,,,,,,
189,11124830059,The Da Vinci Code,2006-01-01,Hans Zimmer,False,Dies Mercurii I Martius,BSO study,,,,,,,
190,11124830059,Band of Brothers - Original Motion Picture Soundtrack,2001-07-19,London Metropolitan Orchestra,False,Bull's Theme - Instrumental,BSO study,,,,,,,
